unitUIID	sortUI	file	fileVerFlags	unitSound	tilesetSpecific	name	unitClass	special	campaign	inEditor	hiddenInEditor	hostilePal	dropItems	nbmmIcon	useClickHelper	hideHeroBar	hideHeroMinimap	hideHeroDeathMsg	hideOnMinimap	blend	scale	legacyScale	scaleBull	maxPitch	maxRoll	elevPts	elevRad	fogRad	walk	run	selZ	weap1	weap2	teamColor	customTeamColor	armor	modelScale	legacyModelScale	red	green	blue	uberSplat	unitShadow	buildingShadow	shadowW	shadowH	shadowX	shadowY	shadowOnWater	selCircOnWater	occH	InBeta
nqb1	n1a	Units\Creeps\QuillBeast\QuillBeast	0	QuillBeast	0	quillbeast1	quillbeast	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.4	1.4	1	45	10	-	50	0	90	300	0	_	_	-1	0	Flesh	1.2	1.2	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	1
nqb2	n1a	Units\Creeps\QuillBeast\QuillBeast	0	QuillBeast	0	quillbeast2	quillbeast	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.6	1.6	1	45	10	-	50	0	90	300	0	_	_	-1	0	Flesh	1.4	1.4	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	1
nqb3	n1a	Units\Creeps\QuillBeast\QuillBeast	0	QuillBeast	0	quillbeast3	quillbeast	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.8	1.8	1	45	10	-	50	0	90	300	0	_	_	-1	0	Flesh	1.6	1.6	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	1
nqb4	n1a	Units\Creeps\QuillBeast\QuillBeast	0	QuillBeast	0	quillbeast4	quillbeast	1	0	1	0	-	1	-	0	0	0	0	0	0.15	2	2	1	45	10	-	50	0	90	300	0	_	_	-1	0	Flesh	1.75	1.75	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	0
nwe1	n1a	units\creeps\WarEagle\WarEagle	0	WarEagle	0	wareagle1	eagle	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.25	1.25	1	33	25	2	20	0	200	200	230	_	_	-1	0	Flesh	0.9	0.9	255	255	255	_	ShadowFlyer	_	120	120	60	60	1	0	0	1
nwe2	n1a	units\creeps\WarEagle\WarEagle	0	WarEagle	0	wareagle2	eagle	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.5	1.5	1	33	25	2	20	0	200	200	230	_	_	-1	0	Flesh	1.1	1.1	255	255	255	_	ShadowFlyer	_	120	120	60	60	1	0	0	1
nwe3	n1a	units\creeps\WarEagle\WarEagle	0	WarEagle	0	wareagle3	eagle	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.75	1.75	1	33	25	2	20	0	200	200	230	_	_	-1	0	Flesh	1.3	1.3	255	255	255	_	ShadowFlyer	_	120	120	60	60	1	0	0	1
nadk	n2	units\creeps\AzureDragon\AzureDragon	0	AzureDragon	0	azuredrake	dragone	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2	2	1	33	25	2	100	0	200	200	230	_	_	-1	0	Flesh	1.2	1.2	150	180	255	_	ShadowFlyer	_	200	200	100	100	1	0	0	1
nadr	n2	units\creeps\AzureDragon\AzureDragon	0	AzureDragon	0	azuredragon	dragone	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2.25	2.25	1	33	25	2	100	0	200	200	230	_	_	-1	0	Flesh	1.75	1.75	255	180	255	_	ShadowFlyer	_	300	300	150	150	1	0	0	1
nadw	n2	units\creeps\AzureDragonWelp\AzureDragonWelp	0	AzureDragon	0	azuredragonwhelp	dragone	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.75	1.75	1	33	25	2	100	0	200	200	230	_	_	-1	0	Flesh	0.7	0.7	150	150	255	_	ShadowFlyer	_	140	140	70	70	1	0	0	1
nahy	n2	Units\Creeps\Hydra\Hydra	0	AzureDragon	0	ancienthydra	hydra	0	0	1	0	1	1	-	0	0	0	0	0	0.15	3	3	1	10	10	-	50	0	100	100	0	_	_	-1	0	Wood	1.55	1.55	255	255	255	_	Shadow	_	140	140	50	50	1	1	0	1
nanb	n2	Units\Creeps\Archnathid\Archnathid	0	Arachnathid	0	barbedarachnathid	arachnathid	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.4	1.4	1	60	60	-	50	0	140	140	0	_	_	-1	0	Stone	0.65	0.65	200	200	255	_	Shadow	_	140	140	50	50	1	0	0	0
nanm	n2	Units\Creeps\Archnathid\Archnathid	0	Arachnathid	0	barbedarachnathidmerc	arachnathid	0	0	0	0	1	1	-	0	0	0	0	0	0.15	1.4	1.4	1	60	60	-	50	0	140	140	0	_	_	-1	0	Stone	0.65	0.65	200	200	255	_	Shadow	_	140	140	50	50	1	0	0	0
nanc	n2	Units\Creeps\ArchnathidGreen\ArchnathidGreen	0	Arachnathid	0	crystalarachnathid	arachnathid	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.2	1.2	1	60	60	-	50	0	140	140	0	_	_	-1	0	Stone	0.65	0.65	200	255	200	_	Shadow	_	140	140	50	50	1	0	0	0
nane	n2	Units\Creeps\Archnathid\Archnathid	0	Arachnathid	0	earthborerarachnathid	arachnathid	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.7	1.7	1	60	60	-	50	0	140	140	0	_	_	-1	0	Stone	1	1	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nano	n2	Units\Creeps\Archnathidpurple\Archnathidpurple	0	Arachnathid	0	overlordarachnathid	arachnathid	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.8	1.8	1	60	60	-	50	0	140	140	0	_	_	-1	0	Stone	1.2	1.2	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nanw	n2	Units\Creeps\ArchnathidGreen\ArchnathidGreen	0	Arachnathid	0	warriorarachnathid	arachnathid	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.6	1.6	1	60	60	-	50	0	140	140	0	_	_	-1	0	Stone	0.9	0.9	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
narg	n2	units\creeps\GolemStatue\GolemStatue	0		0	battlegolem	golemb	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	50	0	200	200	0	MetalHeavyBash	_	-1	0	Metal	0.8	0.8	255	255	200	_	Shadow	_	200	200	90	90	1	0	0	1
nass	n2	units\creeps\BanditSpearThrower\BanditSpearThrower	0	Bandit	0	assassin	bandit	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	200	200	0	_	_	-1	0	Flesh	1.3	1.3	255	150	200	_	Shadow	_	140	140	50	50	1	0	0	1
nbal	n2	units\demon\DoomGuard\DoomGuard	0	DoomGuard	0	doomguard	zzdemon	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2	2	1	10	10	-	50	0	210	210	0	MetalHeavySlice	_	-1	0	Stone	1.3	1.3	255	255	255	_	Shadow	_	180	180	90	90	1	0	0	1
nba2	n2	units\demon\DoomGuard\DoomGuard	0	DoomGuard	0	doomguardsummoned	zzdemon	1	0	1	0	1	1	-	0	0	0	0	0	0.15	2	2	1	10	10	-	50	0	210	210	0	MetalHeavySlice	_	-1	0	Stone	1.3	1.3	255	255	255	_	Shadow	_	180	180	90	90	1	0	0	1
nban	n2	units\creeps\Bandit\Bandit	0	Bandit	0	bandit	bandit	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	200	200	0	MetalMediumChop	_	-1	0	Flesh	1	1	255	200	150	_	Shadow	_	100	100	45	45	1	0	0	1
nbda	n2	Units\Creeps\DragonSpawnGreen\DragonSpawnGreen	0	DragonSpawn	0	bluedragonspawnapprentice	bluedragonspawn	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.8	1.8	1	45	10	-	50	0	120	375	0	WoodHeavyBash	_	-1	0	Flesh	0.9	0.9	210	255	210	_	Shadow	_	140	140	50	50	1	0	0	0
nbdk	n2	units\creeps\BlackDragon\BlackDragon	0	AzureDragon	0	blackdrake	dragonb	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2	2	1	33	25	2	100	0	200	200	230	_	_	-1	0	Flesh	1	1	255	200	255	_	ShadowFlyer	_	200	200	100	100	1	0	0	1
nbdm	n2	Units\Creeps\DragonSpawnBlue\DragonSpawnBlue	0	DragonSpawn	0	bluedragonspawnmeddler	bluedragonspawn	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.8	1.8	1	45	10	-	50	0	120	375	0	WoodHeavyBash	_	-1	0	Flesh	0.9	0.9	210	210	255	_	Shadow	_	140	140	50	50	1	0	0	0
nbdo	n2	Units\Creeps\DragonSpawnBlue\DragonSpawnBlue	0	DragonSpawn	0	bluedragonspawnoverseer	bluedragonspawn	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2.5	2.5	1	45	10	-	50	0	120	375	0	WoodHeavyBash	_	-1	0	Flesh	1.4	1.4	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nbdr	n2	units\creeps\BlackDragonWelp\BlackDragonWelp	0	AzureDragon	0	blackdragonwhelp	dragonb	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.75	1.75	1	33	25	2	100	0	200	200	230	_	_	-1	0	Flesh	0.7	0.7	255	255	255	_	ShadowFlyer	_	140	140	70	70	1	0	0	1
nbds	n2	Units\Creeps\DragonSpawnGreen\DragonSpawnGreen	0	DragonSpawn	0	bluedragonspawnsorceror	bluedragonspawn	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2.4	2.4	1	45	10	-	50	0	120	375	0	WoodHeavyBash	_	-1	0	Flesh	1.3	1.3	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nbdw	n2	Units\Creeps\DragonSpawnPurple\DragonSpawnPurple	0	DragonSpawn	0	bluedragonspawnwarrior	bluedragonspawn	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2.2	2.2	1	45	10	-	50	0	120	375	0	WoodHeavyBash	_	-1	0	Flesh	1.15	1.15	255	235	255	_	Shadow	_	140	140	50	50	1	0	0	0
nbld	n2	units\creeps\BanditLord\BanditLord	0	Bandit	0	banditlord	bandit	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.25	1.25	1	45	10	-	30	0	325	325	0	MetalMediumChop	_	-1	0	Flesh	1.3	1.3	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	1
nbnb	n2	Units\Creeps\Archnathid\Archnathid	0	Arachnathid	0	barbedarachnathidburrowed	arachnathid	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.4	1.4	1	60	60	-	50	0	180	180	0	_	_	-1	0	Flesh	0.65	0.65	200	200	255	_	_	_	240	240	100	100	1	0	0	0
nbot	n2	units\creeps\HumanTransportShip\HumanTransportShip	0	Boat	0	transportship	boat	1	0	1	0	-	1	-	0	0	0	0	0	0.15	3.5	3.5	1	0	0	-	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	200	200	90	90	1	1	0	1
nbrg	n2	units\creeps\BanditSpearThrower\BanditSpearThrower	0	Bandit	0	brigand	bandit	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	200	200	0	_	_	-1	0	Flesh	1.1	1.1	255	200	150	_	Shadow	_	100	100	45	45	1	0	0	1
nbwm	n2	units\creeps\BlackDragon\BlackDragon	0	AzureDragon	0	blackdragon	dragonb	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2.25	2.25	1	33	25	2	100	0	200	200	230	_	_	-1	0	Flesh	1.75	1.75	255	200	200	_	ShadowFlyer	_	300	300	150	150	1	0	0	1
nbzd	n2	units\creeps\BronzeDragon\BronzeDragon	0	AzureDragon	0	bronzedragon	dragonc	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2.25	2.25	1	33	25	2	100	0	200	200	230	_	_	-1	0	Flesh	1.75	1.75	255	180	120	_	ShadowFlyer	_	300	300	150	150	1	0	0	1
nbzk	n2	units\creeps\BronzeDragon\BronzeDragon	0	AzureDragon	0	bronzedrake	dragonc	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2	2	1	33	25	2	100	0	200	200	230	_	_	-1	0	Flesh	1.2	1.2	255	255	255	_	ShadowFlyer	_	200	200	100	100	1	0	0	1
nbzw	n2	units\creeps\BronzeDragonWelp\BronzeDragonWelp	0	AzureDragon	0	bronzedragonwhelp	dragonc	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.75	1.75	1	33	25	2	100	0	200	200	230	_	_	-1	0	Flesh	0.7	0.7	255	180	80	_	ShadowFlyer	_	140	140	70	70	1	0	0	1
ncea	n2	units\creeps\CentaurArcher\CentaurArcher	0	CentaurArcher	0	centaurarcher	centaur	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.25	1.25	1	45	10	-	30	0	325	325	0	_	_	-1	0	Flesh	1	1	255	150	170	_	Shadow	_	120	120	50	50	1	0	0	1
ncen	n2	units\creeps\Centaur\Centaur	0	Centaur	0	centauroutrunner	centaur	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.25	1.25	1	45	10	-	30	0	325	325	0	MetalMediumChop	_	-1	0	Flesh	1.45	1.45	255	255	170	_	Shadow	_	140	140	50	50	1	0	0	1
ncer	n2	units\creeps\Centaur\Centaur	0	Centaur	0	centaurdrudge	centaur	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	45	10	-	30	0	325	325	0	MetalMediumChop	_	-1	0	Flesh	1.1	1.1	255	255	255	_	Shadow	_	120	120	50	50	1	0	0	1
ncfs	n2	Units\Creeps\MurgulTideWarrior\MurgulTideWarrior	0	murloc	0	wateryminioncliffrunner	wateryminion	1	0	1	0	1	1	-	0	0	0	0	0	0.15	0.8	0.8	1	10	10	-	50	0	200	200	0	_	_	-1	0	Wood	0.8	0.8	255	255	128	_	Shadow	_	90	90	35	35	1	1	0	0
ncim	n2	units\creeps\CentaurArcher\CentaurArcher	0	CentaurArcher	0	centaurimpaler	centaur	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.25	1.25	1	45	10	-	30	0	325	325	0	_	_	-1	0	Flesh	1.35	1.35	255	120	140	_	Shadow	_	140	140	50	50	1	0	0	1
ncks	n2	units\creeps\CentaurKhan\CentaurKhan	0	Centaur	0	centaursorceror	centaur	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.4	1.4	1	45	10	-	30	0	325	325	0	MetalMediumChop	_	-1	0	Flesh	1.3	1.3	150	120	255	_	Shadow	_	160	160	80	80	1	0	0	1
ncnk	n2	units\creeps\CentaurKhan\CentaurKhan	0	Centaur	0	centaurkhan	centaur	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.85	1.85	1	45	10	-	30	0	325	325	0	MetalMediumChop	_	-1	0	Flesh	1.75	1.75	255	255	255	_	Shadow	_	160	160	80	80	1	0	0	1
ndqn	n2	units\demon\Demoness\Demoness	0	Demoness	0	succubus	succubus	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	50	0	200	200	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	0
ndqp	n2	units\demon\DemonessBlue\DemonessBlue	0	Demoness	0	maidenofpain	succubus	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.4	1.4	1	10	10	-	50	0	200	200	0	_	_	-1	0	Flesh	1.4	1.4	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	0
ndqs	n2	units\demon\DemonessBlue\DemonessBlue	0	Demoness	0	queenofsuffering	succubus	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	50	0	200	200	0	_	_	-1	0	Flesh	1.5	1.5	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	0
ndqt	n2	units\demon\Demoness\Demoness	0	Demoness	0	viletemptress	succubus	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.4	1.4	1	10	10	-	50	0	200	200	0	_	_	-1	0	Flesh	1.4	1.4	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	0
ndqv	n2	units\demon\DemonessBlue\DemonessBlue	0	Demoness	0	viletormentor	succubus	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.2	1.2	1	10	10	-	50	0	200	200	0	_	_	-1	0	Flesh	1.2	1.2	255	120	190	_	Shadow	_	140	140	60	60	1	0	0	0
ndrv	n2	units\creeps\RevenantOfTheWaves\RevenantOfTheWaves	0	Revenant	0	revenantofthedepths	revenant	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	50	0	200	200	0	WoodMediumBash	_	-1	0	Ethereal	1.4	1.4	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	1
ndtb	n2	units\creeps\DarkTroll\DarkTroll	0	ForestTroll	0	darktrollberserker	darktroll	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	30	0	270	270	0	_	_	-1	0	Flesh	1.3	1.3	180	200	255	_	Shadow	_	140	140	50	50	1	0	0	1
ndth	n2	units\creeps\DarkTrollShadowPriest\DarkTrollShadowPriest	0	ForestTrollShadowPriest	0	darktrollhighpriest	darktroll	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	30	0	270	270	0	_	_	-1	0	Flesh	1.25	1.25	200	120	255	_	Shadow	_	140	140	50	50	1	0	0	1
ndtp	n2	units\creeps\DarkTrollShadowPriest\DarkTrollShadowPriest	0	ForestTrollShadowPriest	0	darktrollshadowpriest	darktroll	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	30	0	270	270	0	_	_	-1	0	Flesh	0.9	0.9	255	255	255	_	Shadow	_	100	100	45	45	1	0	0	1
ndtr	n2	units\creeps\DarkTroll\DarkTroll	0	ForestTroll	0	darktroll	darktroll	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	270	270	0	_	_	-1	0	Flesh	0.85	0.85	100	200	255	_	Shadow	_	100	100	45	45	1	0	0	1
ndtt	n2	units\creeps\DarkTrollTrapper\DarkTrollTrapper	0	ForestTroll	0	darktrolltrapper	darktroll	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	270	270	0	_	_	-1	0	Flesh	1.15	1.15	100	255	100	_	Shadow	_	100	100	45	45	1	0	0	1
ndtw	n2	units\creeps\DarkTrollTrapper\DarkTrollTrapper	0	ForestTroll	0	darktrollwarlord	darktroll	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2	2	1	10	10	-	30	0	270	270	0	_	_	-1	0	Flesh	1.6	1.6	255	200	110	_	Shadow	_	180	180	70	70	1	0	0	1
nehy	n2	Units\Creeps\Hydra\Hydra	0	AzureDragon	0	elderhydra	hydra	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2.5	2.5	1	10	10	-	50	0	100	100	0	_	_	-1	0	Wood	1.2	1.2	150	110	255	_	Shadow	_	140	140	50	50	1	1	0	1
nelb	n2	units\human\WaterElemental\WaterElemental	0	WaterElemental	0	bereserkelemental	elemental	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.6	1.6	1	10	10	-	50	0	200	200	0	_	_	-1	0	Flesh	1.4	1.4	255	50	120	_	Shadow	_	200	200	80	80	1	0	0	1
nele	n2	units\human\WaterElemental\WaterElemental	0	WaterElemental	0	enragedelemental	elemental	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.6	1.6	1	10	10	-	50	0	200	200	0	_	_	-1	0	Flesh	1.2	1.2	255	120	165	_	Shadow	_	200	200	80	80	1	0	0	1
nenc	n2	units\creeps\CorruptedEnt\CorruptedEnt	0	CorruptedEnt	0	corruptedent	ent	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	50	0	110	110	0	WoodMediumBash	_	-1	0	Wood	0.9	0.9	255	140	255	_	Shadow	_	140	140	50	50	1	0	0	1
nenf	n2	units\creeps\Bandit\Bandit	0	Bandit	0	enforcer	bandit	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	200	200	0	MetalMediumChop	_	-1	0	Flesh	1.45	1.45	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	1
nenp	n2	units\creeps\CorruptedEnt\CorruptedEnt	0	CorruptedEnt	0	poisonent	ent	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.35	1.35	1	10	10	-	50	0	200	200	0	WoodMediumBash	_	-1	0	Wood	1.25	1.25	170	255	60	_	Shadow	_	140	140	50	50	1	0	0	1
nepl	n2	units\creeps\CorruptedEnt\CorruptedEnt	0	CorruptedEnt	0	plagueent	ent	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.45	1.45	1	10	10	-	50	0	200	200	0	WoodMediumBash	_	-1	0	Wood	1.4	1.4	150	160	255	_	Shadow	_	140	140	50	50	1	0	0	1
nerd	n2	units\demon\EredarWarlockPurple\EredarWarlockPurple	0	PitLord	0	eredardiabolist	eredar	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2	2	1	10	10	-	50	0	210	210	0	MetalHeavySlice	_	-1	0	Flesh	1.65	1.65	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
ners	n2	units\demon\EredarWarlock\EredarWarlock	0	PitLord	0	eredarsorceror	eredar	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2	2	1	10	10	-	50	0	210	210	0	MetalHeavySlice	_	-1	0	Flesh	1.4	1.4	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nerw	n2	units\demon\EredarWarlock\EredarWarlock	0	PitLord	0	eredarwarlock	eredar	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2	2	1	10	10	-	50	0	210	210	0	MetalHeavySlice	_	-1	0	Flesh	1.75	1.75	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nfel	n2	units\demon\felhound\felhound	2	Felhound	0	felstalker	felstalker	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	45	10	-	30	0	200	200	0	WoodMediumBash	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	1
nfgb	n2	units\demon\Felgaurd\Felgaurd	0	DoomGuard	0	bloodfiend	felguard	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.35	1.35	1	10	10	-	20	0	280	280	0	MetalMediumSlice	_	-1	0	Metal	1.35	1.35	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nfgo	n2	Units\Creeps\ForgottenOne\ForgottenOne	0		0	forgottenone	forgottenone	0	0	1	0	1	1	-	0	0	0	0	0	0.15	4.3	4.3	1	10	10	-	30	0	200	200	0	WoodHeavyBash	_	-1	0	Flesh	0.9	0.9	255	255	255	NGOL	Shadow	_	140	140	50	50	1	0	0	0
nfgt	n2	Units\Creeps\ForgottenOne\ForgottenOneTent	0		0	tentacle	forgottenone	1	0	1	0	-	1	-	0	0	0	0	0	0.15	0.75	0.75	1	25	25	-	50	0	200	200	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	90	90	35	35	1	0	0	0
nfgu	n2	units\demon\Felgaurd\Felgaurd	0	DoomGuard	0	felguard	felguard	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	20	0	280	280	0	MetalMediumSlice	_	-1	0	Metal	1	1	255	200	200	_	Shadow	_	140	140	50	50	1	0	0	0
nfod	n2	Units\Creeps\FacelessOne\FacelessOne	0	FacelessOne	0	facelessonedeathbringer	facelessone	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2.4	2.4	1	10	10	-	50	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	2.3	2.3	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nfor	n2	Units\Creeps\FacelessOne\FacelessOne	0	FacelessOne	0	facelessonetrickster	facelessone	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.4	1.4	1	10	10	-	50	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	1.4	1.4	180	180	255	_	Shadow	_	140	140	50	50	1	0	0	0
nfot	n2	Units\Creeps\FacelessOne\FacelessOne	0	FacelessOne	0	facelessoneterror	facelessone	0	0	1	0	1	1	-	0	0	0	0	0	0.15	2	2	1	10	10	-	50	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	1.85	1.85	255	150	150	_	Shadow	_	140	140	50	50	1	0	0	0
nfov	n2	units\demon\FelgaurdBlue\FelgaurdBlue	0	DoomGuard	0	overlord	felguard	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	20	0	280	280	0	MetalMediumSlice	_	-1	0	Metal	1.5	1.5	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nfpc	n2	units\creeps\PolarFurbolg\PolarFurbolg	0	Furbolg	0	polarfurbolgchampion	polarfurbolg	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	30	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	1.3	1.3	255	120	150	_	Shadow	_	140	140	50	50	1	0	0	0
nfpe	n2	units\creeps\PolarFurbolgTracker\PolarFurbolgTracker	0	Furbolg	0	polarfurbolgeldershaman	polarfurbolg	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	30	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	1.25	1.25	255	150	255	_	Shadow	_	160	160	60	60	1	0	0	0
nfpl	n2	units\creeps\PolarFurbolg\PolarFurbolg	0	Furbolg	0	polarfurbolg	polarfurbolg	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	0.9	0.9	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nfps	n2	units\creeps\PolarFurbolgTracker\PolarFurbolgTracker	0	Furbolg	0	polarfurbolgshaman	polarfurbolg	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	0.9	0.9	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nfpt	n2	units\creeps\PolarFurbolgTracker\PolarFurbolgTracker	0	Furbolg	0	polarfurbolgtracker	polarfurbolg	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	30	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	1.2	1.2	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	0
nfpu	n2	units\creeps\PolarFurbolg\PolarFurbolg	0	Furbolg	0	polarfurbolgursawarrior	polarfurbolg	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.75	1.75	1	10	10	-	50	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	1.4	1.4	255	255	255	_	Shadow	_	180	180	70	70	1	0	0	0
nfra	n2	units\creeps\FurbolgElder\FurbolgElder	0	Furbolg	0	furbolgancient	furbolg	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.75	1.75	1	10	10	-	50	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	1.4	1.4	255	255	255	_	Shadow	_	180	180	70	70	1	0	0	1
nfrb	n2	units\creeps\FurbolgTracker\FurbolgTracker	0	Furbolg	0	furbolgtracker	furbolg	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	1.2	1.2	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	1
nfre	n2	units\creeps\FurbolgShaman\FurbolgShaman	0	Furbolg	0	furbolgeldershaman	furbolg	0	0	1	0	1	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	30	0	250	250	0	WoodHeavyBash	_	-1	0	Flesh	1.25	1.25	255	150	255	_	Shadow	_	160	160	60	60	1	0	0	1
